PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
7.317076664943341,13.705332201637296,3.199918229307309,12.904684839389173,9.166814311838799,4.827666100818648,0.33651107338790986,5.522899490736783,15.224143092153618,1.0609335596725407,0.6209744450188861,0.007829642204030039,36.6085178897985,Good
16.259114487812905,40.08262955201473,2.2235745349692486,13.156949174763973,8.34110689023387,8.171884464234733,0.3359557243906452,4.984017291062797,20.843282682806432,0.17,0.8227699764218278,0.049362850406236516,40.0,Good
12.757823098093839,39.113209692216124,6.442126969916519,23.6673566349285,17.06809415746618,16.51019259481719,0.2880014266282755,8.543466485305713,11.619700408062146,0.5946847372914895,2.2846918704328667,0.21800142662827549,40.06661911239082,Good
19.302697128045835,44.21244716675458,7.196461913612805,24.180703359650813,17.114966093821952,19.35453398359553,0.27916101563699186,6.5557140037173784,13.823538086387195,1.1300678123560977,8.950635547294715,3.0826991020241863,43.37415234554878,Good
17.70315507544308,36.63112163176233,2.6979939691723245,18.90511450442054,11.750545738811981,14.45259288891926,0.28028657583252503,5.770846021071041,21.3563238573127,0.28742904136319547,2.663425203563766,0.2142849310613409,40.08569862122682,Good
23.01414266149416,45.626816096707145,6.012183403277442,26.788454681822383,17.931338348158064,15.56853729592511,0.38568471856863557,5.3065436876260454,22.026498684708805,1.0996654129604837,7.618134008720901,1.2945050764097419,48.705415570590674,Good
9.40889762399359,32.43827656708857,2.761589198525072,13.55298107314409,7.8458744911697025,6.648519486433306,0.26342131639487765,4.910527898369266,32.62005660227322,0.13007763211312734,1.086733947831377,0.18003105284525095,48.66563157182497,Good
13.325274568404652,32.93688786188949,2.4285011553743256,11.65083525895721,8.123112138110512,7.911653459442886,0.36,4.730154614817211,19.195446241693396,0.15191647410427905,0.66,0.06652745684046507,47.0,Good
17.122564785193326,46.39382126371265,6.7862040202242975,27.06706863688181,19.27955504970277,11.676962460010987,0.2983769435557997,6.7954190362199025,12.680313489489457,2.8942940185083463,9.975365947784493,3.5108646166575115,48.61256478519332,Good
8.27338845359431,26.941482718818992,2.476653848001323,10.778409604392126,7.486719223194574,8.101586550008271,0.35333461519986764,4.886600009606881,21.43141734362574,0.1849980772001985,1.3882673172068154,0.07832884680046318,46.999615440039705,Good
15.16569745347864,40.22223752505086,2.551108924992735,12.904383308044174,7.70245578728858,7.629209773833188,0.31364112653879683,6.159975977669283,16.44907662038361,0.08485483538506247,0.5611613169195002,0.046358873461203154,38.63588734612031,Good
11.541166351574324,23.653386516461065,2.2887186153931105,12.494656148287632,7.772734071377298,8.140115033032567,0.32513729120788104,5.446545461627659,19.31967840646295,0.12054916483152411,0.7126542966856999,0.05513729120788104,34.00915274719207,Good
11.998287050062853,31.82213890608297,4.766395050613033,22.317025717096307,15.098638877947204,16.535255174368597,0.3048292182227809,9.147703712040226,13.125170781777218,0.742974282903694,2.826095683354284,0.2986337457822473,37.517078177721906,Good
12.578608631636046,25.139709970277142,3.2817041358811823,13.691511927811971,8.609775184712907,10.643616783440516,0.3,7.312926033970296,15.182596962844126,0.07280547452227834,0.6282958641188179,0.04853698301485222,32.0,Good
18.931569021171786,50.36251504864301,4.186815809974904,24.38720806526785,16.016354333159672,12.612445827120725,0.28004614768152314,5.059367979349196,17.64469301662484,0.32085373210817797,3.2147762850376442,0.31844502571873345,45.988463079619216,Good
9.316827881548754,24.138989179264446,2.6888232263406016,12.554882109476932,8.863271263891296,6.983244967212035,0.38237984399805885,4.688511575895179,17.345694639332386,0.1525720936011647,0.5423798439980588,0.02,41.75240312003882,Good
17.78344955477396,42.396761098657734,3.3738635874445055,14.72726447469726,9.11772717488901,12.055965717490981,0.3541396092248692,9.365300355540967,16.465633036515975,0.14069804612434592,1.1959090582963372,0.07241882767460754,48.29301953875654,Good
15.100001429342104,30.285146165048864,3.846356943770207,11.989285254854323,8.206428418284775,20.890926310005174,0.375571438781015,8.92535558589521,13.644786648462874,0.12435708670441739,1.318214566477913,0.024428561218984977,38.0,Good
6.31299527262972,12.598549761156121,2.924293839566454,12.476966809393495,8.652805682745791,4.314350716531633,0.30429383956645406,4.916928891416709,17.086360121764923,1.2914502388438776,0.9399241640464285,0.021431279855484698,36.42938395664541,Good
19.348411666423306,45.44886233568589,7.666817647765067,24.622497252210586,17.66545199578161,18.583642117627985,0.27818178372677854,6.8206813099699835,12.809093734404161,1.1581821627322146,8.474546109191209,3.0286351060274166,41.795455406830534,Good
11.642642159756905,25.78393996826884,3.35717166931093,12.64449848106533,8.587559525419605,12.660770324204133,0.30573423259987476,7.929074533352396,15.403185158309052,0.11717166931093015,0.8101085997104291,0.06857807753329156,34.857807753329155,Good
18.44700464652128,45.9040879544324,7.853731477978865,25.584199056052547,18.557814798092647,16.569796334034162,0.2902407405147655,6.998550922592791,11.82025927778923,1.037592594852345,8.245425930219456,3.468787028788941,41.49398148713086,Good
20.19338070545342,45.68710777341995,4.141569884023514,27.199870114057585,17.131712000383782,12.79556235023214,0.3603708233488093,5.988201408987943,19.673294114825147,1.253566117127827,10.295104936255054,4.167466366350908,47.49072941627977,Good
15.85914228987074,40.71958824402935,3.9128300760358723,13.439416793851171,10.457718472686627,7.312487175679514,0.3817667175404684,5.60262442766973,18.397701373592646,0.34015435108419795,2.9683016788354575,0.1576500763107026,43.48541984627928,Good
13.67115763490196,32.24270682762129,2.871288670494119,15.147421110052655,10.02433356732773,8.686309218960224,0.4709870513366946,7.229699929801682,21.163945107428567,0.2214592540593838,1.812703729703081,0.1778111189109243,49.463518648515404,Good
14.095906059099878,34.90384102857381,4.852468035223991,21.230783776128273,14.627226239531456,12.008360207439413,0.2662117843444309,6.567390218787516,13.735316841878335,0.6371067268105263,3.3124763816070986,2.9103140716276616,31.863535303329254,Good
11.711540706087005,33.240639894744795,2.580909918865779,11.43425005482042,8.058280008771266,7.077370089905488,0.3654299978071832,5.35147948249524,20.260299539508477,0.20886998026464895,1.507079657920582,0.08542999780718322,47.0,Good
20.125248004306222,47.0712773861999,4.40692882533366,26.629706983404706,17.192672838252328,12.365250553512986,0.33168337023419897,5.5471318173508095,19.22505265990936,1.1710896894233223,9.513371838881923,6.297509760110724,48.207915744145026,Good
15.74149882838233,41.934588019045485,2.3064874258506447,11.801704858065213,7.058913074160927,7.192654483056534,0.32493134957612413,5.384713995772812,16.415205951271627,0.0999084661014988,0.4407322711880096,0.035068650423875906,37.50686504238759,Good
16.731033418579077,40.4267839875249,3.9161261376698033,16.506029294720147,11.48744183737999,13.498769340164824,0.3498181171753312,8.184055745154865,17.72113381688552,0.3139860637112837,2.7458320534640475,0.1547832764535404,44.46013936288716,Good
18.40027285036009,41.603519975461815,3.625136425180044,15.235361543878508,9.861684833822151,13.20491130648158,0.39081855108026353,8.793949560416443,16.77754434675921,0.2162278266203953,2.1356002021866325,0.09,46.45907244598682,Good
12.627492456357903,26.18910448229145,3.3322686553125647,12.484507449583937,8.111343276562824,12.704358301141578,0.2881791035417099,7.300447758854275,14.74689554906127,0.07182089645829014,0.6250149305205958,0.05182089645829013,33.182089645829016,Good
9.758670979062298,32.0821671628134,2.6952516753435787,11.151192665642702,7.8825985666127885,7.213927587550492,0.3654376396119649,6.117478313419595,21.416181496685507,0.2363129188358947,2.069442107194842,0.09,47.228118019401755,Good
16.491329299353392,44.1644760209529,1.9879319970067288,10.36575500189187,6.220867253663856,6.624155563888932,0.3396339078304587,4.375138328975171,16.371098276508626,0.11951187710727822,0.28390498314177426,0.020366092169541335,36.03660921695413,Good
20.16370411322899,46.29001117334783,4.257152401108132,26.95152389491631,17.15826474079511,12.608131241446273,0.34787541609641814,5.796084522482429,19.478053376506534,1.2176418212772022,9.954605088627396,5.095250354840951,47.80311459758955,Good
12.003248405614851,27.730131401792722,4.675842946744394,18.48953156081001,13.26240667785838,15.040682095224527,0.3634491652677026,6.258957512590676,14.02890348908808,0.2692380885095003,1.9930887730829068,0.1887567529378245,44.17245826338513,Good
14.586101508896876,41.71111036298892,3.410635191458918,14.348592193594087,9.693285896085051,5.664433520285121,0.3672943259786362,5.106554083986027,16.617559396441248,0.3664716298931809,2.669757525978232,0.2218829779359085,36.851462775801146,Good
14.042717778623485,27.838289716242922,3.9936214522631577,12.329126428299594,8.319708809433198,22.563700085963557,0.3680194127044535,10.077039562570846,12.953776262457493,0.1658932301255059,1.1105338493724703,0.03198058729554653,38.0,Good
15.881434649151483,30.054411894502817,3.831210722311895,14.249052128941003,9.190491191188265,7.975226133387478,0.33519603516572766,4.577027167744446,14.991792208165409,0.3522878124494525,2.3436622651574357,0.11480396483427234,37.65359765561816,Good
13.351263208122218,31.08661928223787,3.195195676674936,13.414786424620576,8.360515953381613,9.558968093236775,0.3395907479456403,7.980035797408974,14.955035624684058,0.10186830957643189,0.6818504108719445,0.052864764380518056,36.081850410871944,Good
17.216765069662898,36.955013674656584,2.1142524257178543,13.723541752559296,8.231770876279647,8.208260218227188,0.36342524257178543,3.8370835051185908,18.42172816853931,0.3086213614232185,1.3235844602996318,0.2120466039950039,47.97242722846437,Good
14.880547669805685,30.37972779045987,2.8384807551745506,19.22989995312584,11.87666883381695,9.104292026387066,0.4913503328849022,6.808136429842608,23.52487087800052,0.34095760947859194,2.956720482616741,0.41461588472698835,49.772649016970014,Good
10.093965600165554,21.61990163071358,5.473056125503181,18.661564877694495,13.29115932500652,10.33148702652258,0.2888201568789759,5.729012674165712,15.036669284752065,0.3281237176178434,3.180348219630566,0.16764031375795171,31.42359686242048,Good
8.742380529830877,25.376357999285336,2.3675859232951453,11.427363756393886,7.9338977144899046,7.419912020594658,0.36424140767048546,4.319446801134755,19.310046208090576,0.16863788849427178,0.8265675049699979,0.04015507315330083,43.727577698854354,Good
19.226488297372455,47.922635165756304,4.174598010526107,23.35421620788064,15.480930368413716,13.0451062026375,0.26844850789457964,5.211720889475885,17.11478086578219,0.3392524868423673,3.2215514921054202,0.3254019894738938,46.77009947369469,Good
15.958999248061998,39.06941671415451,7.257474848291721,23.490238552052865,17.957927708297486,21.363073043640515,0.33471114453057793,7.03215617381569,13.856021236347951,0.8273555722652889,5.232519576801633,1.3292079811082536,47.47111445305779,Good
12.352127684750844,23.602651417570815,2.120785599229957,13.007184976432072,8.372111308015365,7.120081829891502,0.34,3.9232242268113304,21.932733193676423,0.17721767611713876,0.9582651417570814,0.07,35.0,Good
12.353212143214256,32.29064002904282,4.463525637790502,22.23342113959842,14.800501799700024,17.361836280196755,0.3079841079396823,9.374855771657122,13.122015892060316,0.8265788604015801,2.944404047738085,0.3238728635174582,37.20158920603177,Good
17.579932736120004,50.26012550833123,3.5363234170078055,16.814552389391707,11.383811110752188,11.245254838397067,0.36487968936292675,9.91438805142632,17.525870608705354,0.09743984468146338,0.6641578255404873,0.05231953404439013,50.0,Good
5.676175293769984,13.710328596835346,6.168456255540878,11.323555653225235,5.487131470327488,6.289113765145067,0.12808764688499205,3.35217132418128,25.569721180990207,0.03630477930312004,0.5640836772962877,0.144521911721248,47.095617655750395,Good
16.277437032420703,41.44512593515859,3.2503037717945906,21.721663107800357,13.98663715706165,11.555933447587533,0.2659296290525882,6.184974049261293,17.387337048000823,0.2340703709474118,1.8196481452629412,0.20185925810517644,41.0,Good
16.238177013138017,41.523645973723966,3.8293890562142647,22.95344621279475,15.007397658411586,12.527618924834105,0.261022126642252,5.973951445616835,17.480579593797213,0.238977873357748,1.79511063321126,0.192044253284504,41.0,Good
19.74549970753398,43.90000083561719,4.388873464553406,21.689437567893897,14.739436732276701,13.861061721831488,0.2524374843321776,5.490312369434813,16.368061805393207,0.4374370665235804,3.647872378251053,0.5319988301359277,48.0,Good
13.227351885032848,33.37377748157343,3.2973421903684654,13.704418414763946,9.567847653176644,8.764926237508467,0.4430906899163505,7.3666457040470075,19.870568350667156,0.23160338548496345,1.7619830725751826,0.1625949217725548,49.20991536287591,Good
17.64759745957992,45.923275393726676,4.443713282931267,28.022803660185343,18.162402540420082,15.819951949115092,0.26046045209575275,4.652491538915813,15.088648309877987,0.28920904191505503,2.4131822170594424,0.2894392679629314,43.953954790424724,Good
24.574345855093952,66.63248045982446,4.5576561410145375,26.62916019336143,17.224706957496906,11.244452995344881,0.38816406531858955,6.652216757649629,13.430097640747757,1.3239453115604702,14.62738293933653,5.144101392445098,48.697265578023504,Good
16.816147468075,38.70952472653256,3.2558779983322355,21.166196328422693,13.700644063016117,13.092485934204277,0.23686259994440786,6.307910867574671,18.757132069687174,0.2554249333703948,2.6152339353161196,0.24398726679638166,41.0,Good
18.463879864964305,36.54541086796556,2.414796733099352,16.08628735703744,9.569354154399148,15.749037961442584,0.34374435369720424,5.2321499292266616,22.902904366719163,0.32,2.2278049003509723,0.13378952411957046,40.87217684860211,Good
12.299936232082466,22.340510665224578,3.4710401998822618,12.361365677203837,8.088270584724066,12.834199060279566,0.3744862768506225,7.693120599646784,13.748934292950725,0.06931078460632782,0.4296490155114106,0.012067646181016564,34.79323538189834,Good
20.014892222400547,42.32638977224502,7.008812881236773,21.826705937422773,16.18355848924143,15.39392065883623,0.28231963196466364,5.747062372921075,17.388192019074264,1.1659787311849337,8.396858285915153,2.7198993900211623,48.0,Good
13.46965274873037,26.14042469660518,3.3468725910184456,12.620810849505494,8.184362955092228,11.745366523122064,0.2979150606789638,7.3247876516974095,14.469420770649531,0.06208493932103619,0.571467166265699,0.04208493932103619,32.20849393210362,Good
19.837542261922884,50.88463163780374,6.469846454317776,26.070619685785843,18.642914499621465,12.87505964327719,0.35436043312176196,6.3473450785535395,13.905969290863554,1.1839340552029365,11.98003038362552,2.0569054465731167,49.68087926396085,Good
13.475804165581717,31.32441850315681,6.093253046407115,22.17417764237816,16.210605090308388,17.705869544552243,0.2708931380174429,5.989824518191872,14.291532149342753,0.513397070261643,2.8166815746223604,0.23323731743031528,46.64274479302285,Good
14.118947029633885,35.65139251701046,4.519654016399454,22.18314389153387,14.980521121052888,12.955600107170785,0.2687718921815427,6.825961110335809,13.63035242055675,0.7471913638063346,4.067708193555085,3.97787903970329,32.6315676544628,Good
10.881664414098621,33.30902013785915,2.7051778534269344,11.449748319027295,8.087181206919016,7.522228172714818,0.3676409396540492,6.451231543113557,20.79065101703695,0.22169127584859025,1.8519865860316735,0.07584563792429512,47.0,Good
7.129105998086486,10.978482333652252,8.685084193936664,39.897507751185046,5.1887905913920935,26.021323247200982,0.12475930717713085,13.976381332052812,17.304818596489955,0.09779463987262618,0.40297130335010284,0.11662082041469159,34.993123062203736,Good
16.734339692516706,36.29360843940741,4.411462506218594,22.800094065112937,15.267830153741647,21.447052132603417,0.23117925276964724,5.556202901311649,17.878490196697403,0.5558962638482362,2.9304246156458844,1.382688527017173,43.627358241011756,Good
13.414361644053614,25.46858751124014,3.371126197429676,12.599622144590773,8.180498894680298,11.765887803286535,0.3130007368798006,7.393378592289028,14.294618460191769,0.06162509210997508,0.5372487104603489,0.03512472367007476,32.487527632992524,Good
15.027721112297483,39.34972509447102,3.958779385474209,21.548174055928225,14.762884217248498,10.015361053920433,0.2633214641265494,7.001139443851259,15.600294816396643,0.47042729144422196,2.4811394438512586,1.7193491073998382,43.67141434938024,Good
12.93266468617884,42.688914643028646,7.258688728479472,17.275986044436312,9.059117413372196,8.235008463147713,0.26031883657323596,5.621632180730497,23.596980552020337,0.3955722132022821,2.31159418286618,0.3926266883145231,48.68855573595436,Good
8.916431388727728,17.555716469713566,3.6113427444508908,12.795836583682503,8.953042948408864,13.20041153269301,0.3413697810438556,6.313860029996345,16.342306976600277,0.8580564667053452,0.5590687882421197,0.11043856928597537,36.54520875824578,Good
10.603237483604737,23.809368709212823,5.0639471968971295,19.887184680501868,13.817631681861721,12.729922881076602,0.30960528031028706,5.241578878758852,17.235158800383157,0.4574473924344019,2.8890537156101423,0.30900013035818175,38.0,Good
8.663797099388429,25.638607354366528,2.3858611396771097,11.318626218921196,7.85896932732385,7.534132122981936,0.362413886032289,4.41447792632097,19.665499166719783,0.17137917095156646,0.9206848693371154,0.04655139888698842,44.27583419031329,Good
13.632300139262684,30.997403934640463,5.722354839847913,19.678904630953888,14.209392009099037,12.866467740228131,0.30744249651843286,6.0288772806612725,16.812864641163774,0.3995399721474631,2.613329596138215,0.2004600278525369,33.0,Good
11.673333834987304,25.950646795951766,4.568854433286805,20.29536002803299,13.93832605748731,9.408648702982237,0.2661673942512691,6.225639018451774,15.135476943223354,0.4220557980837564,2.3649781724619263,0.24738622107867989,38.0,Good
18.212937963746654,40.23602261111439,2.08,13.55139424865171,8.101133000955898,8.542935180924507,0.3578778988871449,3.980871753260087,18.838227156755607,0.32816848330717385,1.3746227968183917,0.2260463821943188,48.36336966614348,Good
14.286216251209131,33.499607299338635,7.287932610060075,30.413839499752605,14.458056469585852,10.26177800131599,0.22922810547094583,6.510585817942547,22.5273949277889,0.5069400100668098,3.9557061571209853,0.7057959623647417,48.207443063460275,Good
8.943389349118615,31.71051010918544,2.0250808011876678,14.81182035167924,8.918947556726573,7.430923065800638,0.3005745589905331,5.133447353943199,34.05154918463524,0.16285990499164682,1.1151452509927604,0.19314396199665876,48.228534600111374,Good
15.647411653531352,38.29057202026764,1.7680837622650205,8.102907069327724,4.954770186586191,5.542488258002622,0.37756486247389115,3.3629009168407253,19.761863117258468,0.1668396332637098,1.6223820170495962,0.23321348721280286,44.07252292101814,Good
10.041785079371628,22.98860917234098,5.4672703628122585,19.659133469379334,14.36587953515324,14.484202607777576,0.25136481859387044,6.676772074839054,14.717686507854651,0.4318110884367774,2.1124134126705814,0.10136481859387043,33.727036281225914,Good
20.216857729807153,42.553263629122426,6.863503081487545,21.580015169866197,15.976751540743773,15.115210745379743,0.2776888069539546,5.700740057949621,17.487537108291985,1.1360569923927424,7.873260363628394,2.417430919228606,48.0,Good
16.636067907037702,39.57911944891004,3.469130110086932,21.794105324144855,14.167429240968062,12.981120942510158,0.2439710036695644,6.191806940063781,18.370908800620334,0.25068599755362375,2.3617008691188697,0.22740099143768308,41.0,Good
17.548326043821856,46.86215864820404,6.894773141174572,26.696656341874988,19.230592504960487,12.251740159159501,0.3111497813146556,6.674077077510772,13.097559522945415,2.362092445222684,10.32661898615303,3.0318832007004155,49.038326043821854,Good
13.571588090280956,31.886824310329516,5.8253218504890745,19.86600836668748,14.50476377995144,12.446995080319116,0.30592273624696503,6.169613681234826,15.138068406174126,0.415922736246965,2.7933902566632005,0.19141633850849785,32.755364174817906,Good
10.807355131209992,24.764217822935276,4.900749354998814,19.841388813277486,13.82387953275903,9.99995574741168,0.277612046724097,5.790742224484314,15.646671420342999,0.42587068224136565,2.0216385982770895,0.2054224953449776,38.0,Good
17.403503603648307,49.32014624599292,3.4845985338340815,16.889744594527542,11.786094991952263,11.704671471531077,0.36967153329756564,11.357080392059567,18.291715394742145,0.1022992669170407,0.7216788023606693,0.06098540010730315,49.934306659513126,Good
16.98093682859891,40.939929076152104,6.156915719741967,24.78878937693979,17.38201550489362,17.685914567915354,0.31261751611362615,6.1624855693481235,14.868319312485285,0.766107537598461,9.626030013130366,4.021335969205516,48.0,Good
9.228722323072732,32.156594054381316,2.476523112091602,14.040215689718806,8.261208166062385,6.951349334929396,0.2778015047312842,4.996809028387705,33.174116799940656,0.1427660335864272,1.09773056244157,0.1851064134345709,48.4964528855143,Good
14.714920399880707,28.86072182724684,5.851027673811401,14.198725248561752,10.005751211715697,18.575670186048526,0.38,7.3662231102399325,13.714973466626903,0.1231052781636619,1.341802567804437,0.35502653337309736,39.73289586227464,Good
19.735322783753325,42.20821215464652,6.916211016700627,22.119504213860875,16.290271114087847,15.580888232947306,0.2849653995228392,5.77792966109979,17.15801024151299,1.1271741403316915,8.552958571847514,2.868062373278996,48.0,Good
17.59788257049279,30.018961034283585,2.937792206856717,14.307476006163268,8.609836251926021,9.485420665639456,0.3593224167950681,4.129920931818438,17.859040102465148,0.21559570916794266,1.1023828366717707,0.0886448335901362,36.0,Good
12.112787512082827,23.358843123623597,3.4301642926187585,12.349344195133982,8.070655804866018,13.110654439256999,0.3488526828867243,7.582951804701587,14.098685659049929,0.07311473171132758,0.49786829278318934,0.025573658556637867,34.68852682886724,Good
17.25392029905416,29.999755386320853,3.1692596787747647,14.31585452783007,8.7714579617932,9.08050218773388,0.3534148712263826,4.145848047642278,17.171979590090455,0.255120686792626,1.4448663528317904,0.09658512877361737,36.439008584907825,Good
8.349534028864174,15.948739322299339,2.961000560125062,12.397587172629418,8.959862764293181,7.954065257103034,0.3166552303577651,6.360137235706818,16.808582131503854,0.34206973810353447,0.5055860523792931,0.021672384821117455,35.555174345258834,Good
24.580039074752072,47.087173491191045,2.7039222287351223,14.835306413475086,8.69463862462538,9.259805571837806,0.38899513929594515,4.406505702341336,18.233925406164616,0.3347844457470245,2.598132922284043,0.1467941671551342,44.440194428162194,Good
11.156300360810988,25.001782023572314,3.4223514980356406,13.125826447032424,9.530160125438494,11.17166192949344,0.35085872940928964,9.067214619545418,16.145232439174986,0.18235149803564057,1.0557864156727992,0.0836195764697632,36.36195764697632,Good
16.733020106092866,46.170888475361664,7.371784265917577,27.386676420258997,19.674833632787436,12.023279688575514,0.2945447895277956,7.12514442162982,11.168526522924807,2.2927897843872116,8.6942778918509,4.1951517368240685,44.60621577684769,Good
15.017421787005384,39.781287013643464,2.6141018551937916,13.188336054950476,7.8681756498175135,7.741627926191997,0.3107337605295173,6.359615110306478,16.45779871841145,0.08097834737268975,0.592173221018482,0.04926623947048269,38.92662394704827,Good
14.547961258724404,43.06355525925008,6.678493297997656,15.981111315840721,9.49485445219947,7.389842642875917,0.2709775773637429,5.531640440479319,21.828195301059115,0.3754101101198299,2.493404803463478,0.3106628631155766,46.70505505991493,Good
16.265415570488795,41.46916885902241,3.4276203352902566,22.09883647591402,14.2991951672913,11.853464630402295,0.26442694631109953,6.120358691377279,17.41588802008911,0.23557305368890047,1.8121347315554976,0.19885389262219905,41.0,Good
10.238922329124275,21.223649727438865,5.828678087871923,19.014698460141286,13.719683991054634,10.224310683502903,0.2772126403578147,5.7891955085499305,14.839670099708226,0.4660632017890734,1.8662646135217138,0.20466952196798072,29.418103946327797,Good
19.591402788757346,52.04976006257558,3.763107076186,22.994027887573463,14.732906077071794,14.060541436095727,0.3,8.077854776032721,17.535172321011803,0.6156111550293853,4.131622205766137,2.231160748811883,39.605209156800974,Good
19.484565247435178,51.24893547015345,3.0645587625580215,23.403200074416816,14.731451336841792,13.474469356296012,0.2963107425716229,8.361080742039444,15.774264604263369,0.6217487375750232,4.898161856162968,3.294865890606987,41.92231435709428,Good
17.602630377644296,40.08174708972014,7.855707154408666,27.67004040882335,20.505666745585312,13.595584025875409,0.33603232705868186,6.220567625590131,12.472226289410774,1.8249412888281697,11.942426431464336,3.1423898267673804,48.700404088233526,Good
16.82742901391644,46.36175865857019,7.685796502809025,27.29637224755819,19.81234225940003,12.519952638429961,0.30070189221194166,7.190820183594044,10.782681421384988,1.7140221320774829,8.365899082029777,4.193099369262686,43.16955848388028,Good
16.17839086927456,40.261566906441395,2.124015405438622,13.486570617128885,8.442011413406801,8.100578601192527,0.33191954346372793,4.924819970801344,22.054136960881618,0.17,0.8321877319179681,0.052053637690848045,40.0,Good
10.629060368367277,20.122462434904687,3.7116220961435578,15.048576489599636,10.657203946708933,14.340481236619915,0.388535778106735,5.949625670120717,12.942113588780234,0.07719633283989752,0.5602495532528551,0.058660554733162534,45.1464221893265,Good
16.382165663223557,40.80520002101257,3.7698038198668424,22.679422358496815,14.82557058348631,12.824102449625094,0.2539934606622281,6.028106809183607,17.82635530401894,0.2440043595585146,2.0042332363805317,0.20401525845480115,41.0,Good
18.400359009781347,37.56726810351746,2.51422068034224,15.45660235783248,9.273844088982786,15.608187369515159,0.34650613000950664,5.403380060589414,22.093703907214547,0.32,2.0786689794866398,0.11445708993345331,42.25306500475334,Good
19.29053850789986,47.39609252596607,4.171270726862345,23.13045638149269,15.36447544018207,13.139101966138758,0.26595304514675866,5.246657367945379,16.99915775846648,0.34341159142206895,3.2240469548532413,0.32872927313765515,46.93646365688276,Good
12.912482230417778,31.556255522978258,5.028689727498141,20.99368876698018,14.797423638822346,16.572422678304388,0.32625360194234215,5.893744477021742,14.507498559223063,0.33498943430246303,2.0099635003175997,0.1262478388345947,47.0,Good
16.086207579801574,54.19320816376856,5.241643148826114,24.234431486860043,16.617383090457437,16.001393586451076,0.29866822157679496,7.227959183959408,14.51996151562405,0.5938005831263256,3.3469002915631627,0.9945014578158138,47.24454810511966,Good
12.829363521959328,36.63678713192858,2.5849588912639607,13.748338242308897,9.132548984206725,14.694129548440428,0.3632687037341533,10.776758702089872,18.010747125351454,0.1143213892086101,1.3221053709489134,0.11019388879753997,46.65374074683067,Good
12.614508546627526,25.172892361823052,3.283992576677452,13.656613205668858,8.596044539935288,10.673652568891555,0.3,7.313498144169363,15.156708976336326,0.07237639187297777,0.6260074233225481,0.048250927915318514,32.0,Good
16.51882134037663,42.82034732690818,2.153486360740373,10.823995061091232,6.726339975805539,7.142220869389959,0.34294044679220975,4.596997530545616,16.446451616597454,0.13470223396104858,0.42996278640269553,0.02588089358441943,37.17617871688389,Good
13.102970400105086,32.86575052803363,2.508530655962169,11.784217759936949,8.194249471966373,8.920914383522911,0.36,5.819445039485079,19.319936575941153,0.13857822400630515,0.66,0.04429704001050859,47.0,Good
10.069100342373842,21.82968113113649,5.682165001263706,19.384311019539286,13.886176134927608,10.903598630504638,0.27055295460289575,6.002305452707337,15.96182714941207,0.4327647730144786,2.359081359385717,0.16804125031592643,30.417056809565644,Good
15.670673534754348,36.79093238677754,2.094150290021666,9.695222924436376,6.009173664627861,5.6860336767377175,0.3713782356502899,3.708300580043333,18.246308111831702,0.17206735347543484,0.9884222145195295,0.2163704441148915,42.465544108742755,Good
22.781912570836333,44.43818963974004,7.339077784773959,23.962184557933227,17.376901887998788,16.38198475457956,0.33708032567736557,5.118062020129599,20.69828318915836,1.0650828665807723,6.661750881033765,1.3601784376785786,49.03782410322483,Good
12.684003988579526,41.341693251557736,6.280747029712018,16.773097618694415,9.433964136618922,8.672948199218148,0.3141334651581622,5.6643127482288875,23.02914343660698,0.40485059744106244,2.5806673257908113,0.37035856614145013,48.502988051178754,Good
16.399213768639743,39.7720761461819,2.396363647989018,12.58487711138771,8.165982789200319,8.295638828965107,0.3429606884319872,5.086756763669146,18.741793470403834,0.17,0.8064250603253632,0.04469287437867519,40.0,Good
11.049892034951375,24.830651107756854,3.4366124076869293,13.231137779841937,9.736394818857127,10.845854993614006,0.3607316668601816,9.316232041917914,16.307587410589655,0.19661240768692897,1.1095390751276553,0.08691055562006053,36.691055562006056,Good
12.82006176867863,34.196841677922784,3.7099073469820567,12.303652471506249,9.58938231321371,8.849969115660684,0.37340539679173373,9.077529252854843,17.841482448287096,0.1800926530179434,1.420463265089717,0.09674902490483858,47.003088433931445,Good
17.838624146981232,41.01303691736822,5.336744954294167,25.807835547711072,17.64218118683381,11.269295314810146,0.27848993272392225,6.8082718043863055,16.0023154493623,0.6467785199262888,4.452550312244799,0.6522483180980554,41.92449663619611,Good
20.748827670310753,34.100777862906,4.283507558505098,22.05961086353477,13.097273994621068,9.749221727069537,0.4277921598672706,3.4449371257073653,18.913119242088793,0.5262339739084941,3.858703151798871,0.5224679478169885,49.0,Good
12.234881534770963,29.7884409798635,4.045448987648644,18.961594013900317,13.027841483776239,14.791456576512255,0.39276981452797005,5.9950716692482695,14.257604553318167,0.1607516862465108,1.509298060288494,0.1271833894912629,45.6384907263985,Good
9.946678794300267,19.931002154024824,4.164618841814103,17.311824395174405,12.36822268857957,17.108475367256414,0.36666595327645496,5.767687368836996,12.939533165717751,0.11769378934890123,0.9871991328483944,0.13333618689418014,46.30770877054335,Good
