PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
70.51,100.62,17.12,16.18,28.61,2.5,1.2,11.67,33.14,1.96,12.9,1.02,144.0,Moderate
69.02,98.3,7.66,10.53,14.07,3.52,1.06,12.49,32.91,1.36,6.87,0.7,130.0,Moderate
44.27,107.15,9.28,6.38,12.52,6.01,0.81,9.57,31.61,0.89,5.89,1.15,128.0,Moderate
46.31,92.72,8.21,6.58,11.61,5.94,0.84,9.58,30.33,0.97,5.09,1.1,102.0,Moderate
37.76,102.3,7.23,5.1,9.17,5.96,0.89,9.16,38.1,0.88,3.83,0.39,110.0,Moderate
30.44,74.28,7.51,6.96,11.27,5.97,0.94,8.51,21.91,0.99,5.15,1.88,86.0,Satisfactory
38.88,106.93,6.34,9.18,13.07,6.83,0.93,8.8,33.12,1.04,5.01,2.12,92.0,Satisfactory
70.96,104.88,7.28,7.21,12.71,10.08,1.25,9.36,43.03,1.42,5.74,1.04,121.0,Moderate
46.04,98.22,3.95,7.92,9.81,9.44,0.76,6.44,40.99,1.24,4.41,0.7,97.0,Satisfactory
40.59,94.94,4.84,10.51,13.63,8.95,0.92,9.44,36.46,1.2,5.98,2.65,102.0,Moderate
69.37,112.36,8.69,15.65,22.64,8.87,1.1,8.3,26.89,1.51,7.33,0.75,119.0,Moderate
91.06,108.82,15.49,21.0,34.72,8.95,1.4,11.16,25.38,1.86,8.97,1.03,199.0,Moderate
83.12,115.67,7.2,16.36,21.79,8.93,1.1,9.12,33.04,1.58,6.92,0.78,172.0,Moderate
81.22,110.9,4.52,11.75,14.87,8.6,1.01,9.53,39.42,1.26,6.04,0.46,172.0,Moderate
67.13,109.51,4.52,9.39,12.25,8.95,0.97,8.22,46.11,1.28,4.77,0.7,164.0,Moderate
45.49,106.29,4.86,8.74,11.95,8.93,0.92,8.03,31.7,1.15,5.14,2.61,119.0,Moderate
38.24,102.51,5.31,10.07,13.74,8.94,0.93,9.1,28.27,1.1,5.45,2.51,101.0,Moderate
29.53,80.84,5.28,10.13,13.79,9.32,0.87,7.72,21.04,1.26,4.59,0.62,95.0,Satisfactory
45.97,98.69,6.86,17.38,23.23,10.45,0.85,7.09,28.81,0.91,4.24,0.32,99.0,Satisfactory
57.22,103.72,5.61,19.75,24.69,9.3,1.28,9.04,31.38,1.14,8.69,1.45,120.0,Moderate
61.11,109.53,7.38,16.02,21.96,10.39,1.04,9.25,24.0,1.37,6.67,1.26,127.0,Moderate
79.25,105.66,8.72,22.09,29.96,10.53,1.17,8.71,24.41,1.22,7.57,1.47,160.0,Moderate
72.74,104.94,8.25,17.02,23.62,10.43,1.14,10.42,28.54,1.67,9.31,1.01,147.0,Moderate
60.2,104.11,7.51,16.7,22.55,10.35,1.12,7.05,29.88,1.57,7.05,1.07,137.0,Moderate
49.53,117.53,6.44,16.6,21.53,10.5,1.11,7.85,29.88,1.46,6.76,0.92,120.0,Moderate
24.85,64.47,8.58,12.14,19.29,10.5,0.91,8.54,20.59,0.84,5.26,0.34,101.0,Moderate
42.92,87.86,10.1,13.9,22.57,10.48,1.18,7.02,24.96,1.47,7.26,0.99,111.0,Moderate
57.34,93.23,5.24,9.76,13.55,10.46,0.86,8.74,31.37,1.35,7.01,0.85,124.0,Moderate
30.53,95.47,5.52,10.89,14.9,10.43,0.81,8.78,31.66,1.06,5.46,0.6,102.0,Moderate
30.54,98.14,5.82,14.83,19.18,10.53,0.89,8.37,32.98,1.22,6.36,0.76,100.0,Satisfactory
33.68,85.59,6.62,12.81,18.01,10.54,0.85,7.29,30.43,1.26,5.91,0.76,101.0,Moderate
33.48,81.25,6.92,12.47,17.9,10.55,0.8,9.02,28.24,1.22,5.43,0.73,92.0,Satisfactory
36.17,75.84,6.98,12.44,17.93,10.46,0.94,8.45,27.24,1.15,6.11,1.47,98.0,Satisfactory
38.31,103.29,7.85,13.32,19.67,10.41,1.03,7.17,22.6,1.31,9.67,1.78,101.0,Moderate
45.87,98.28,5.3,8.87,12.6,10.49,0.88,7.81,27.92,1.33,7.7,1.0,104.0,Moderate
30.24,82.51,3.8,11.64,14.11,10.49,0.6,9.7,28.87,0.82,5.77,0.42,93.0,Satisfactory
59.23,84.19,6.68,13.39,18.49,10.38,0.92,7.79,31.1,1.13,6.38,0.56,102.0,Moderate
38.41,83.4,6.6,12.88,18.03,10.42,0.8,6.71,30.15,1.1,5.35,0.64,115.0,Moderate
60.86,108.11,6.06,11.42,15.98,10.42,0.99,8.48,52.28,1.27,7.24,0.49,113.0,Moderate
74.08,94.0,4.72,8.91,12.19,10.42,0.91,11.36,72.53,1.26,5.22,0.8,142.0,Moderate
79.9,99.88,4.84,12.23,15.52,10.35,1.26,14.13,83.35,1.6,7.69,2.41,174.0,Moderate
79.52,97.83,5.14,14.89,18.53,10.38,1.26,17.09,61.51,1.78,7.98,1.53,176.0,Moderate
